"3B"; [0]; Porte des Lilas; 08:31;
"3B"; [0]; Porte des Lilas; 08:40;
"3B"; [0]; Porte des Lilas; 08:49;
"3B"; [0]; Porte des Lilas; 08:58;
"3B"; [0]; Porte des Lilas; 09:07;
"3B"; [0]; Porte des Lilas; 09:16;
"3B"; [0]; Porte des Lilas; 09:25;
"3B"; [0]; Porte des Lilas; 09:34;
"3B"; [0]; Porte des Lilas; 09:43;
"3B"; [0]; Porte des Lilas; 09:52;
"3B"; [0]; Porte des Lilas; 10:01;
"3B"; [0]; Porte des Lilas; 10:10;
"3B"; [0]; Porte des Lilas; 10:19;
"3B"; [0]; Porte des Lilas; 10:28;
"3B"; [0]; Porte des Lilas; 10:37;
"3B"; [0]; Porte des Lilas; 10:46;
"3B"; [0]; Porte des Lilas; 10:55;
"3B"; [0]; Porte des Lilas; 11:04;
"3B"; [0]; Porte des Lilas; 11:13;
"3B"; [0]; Porte des Lilas; 11:22;
"3B"; [0]; Porte des Lilas; 11:31;
"3B"; [0]; Porte des Lilas; 11:40;
"3B"; [0]; Porte des Lilas; 11:49;
"3B"; [0]; Porte des Lilas; 11:58;
"3B"; [0]; Porte des Lilas; 12:07;
"3B"; [0]; Porte des Lilas; 12:16;
"3B"; [0]; Porte des Lilas; 12:25;
"3B"; [0]; Porte des Lilas; 12:34;
"3B"; [0]; Porte des Lilas; 12:43;
"3B"; [0]; Porte des Lilas; 12:52;
"3B"; [0]; Porte des Lilas; 13:01;
"3B"; [0]; Porte des Lilas; 13:10;
"3B"; [0]; Porte des Lilas; 13:19;
"3B"; [0]; Porte des Lilas; 13:28;
"3B"; [0]; Porte des Lilas; 13:37;
"3B"; [0]; Porte des Lilas; 13:46;
"3B"; [0]; Porte des Lilas; 13:55;
"3B"; [0]; Porte des Lilas; 14:04;
"3B"; [0]; Porte des Lilas; 14:13;
"3B"; [0]; Porte des Lilas; 14:22;
"3B"; [0]; Porte des Lilas; 14:31;
"3B"; [0]; Porte des Lilas; 14:40;
"3B"; [0]; Porte des Lilas; 14:49;
"3B"; [0]; Porte des Lilas; 14:58;
"3B"; [0]; Porte des Lilas; 15:07;
"3B"; [0]; Porte des Lilas; 15:16;
"3B"; [0]; Porte des Lilas; 15:25;
"3B"; [0]; Porte des Lilas; 15:34;
"3B"; [0]; Porte des Lilas; 15:43;
"3B"; [0]; Porte des Lilas; 15:52;
"3B"; [0]; Porte des Lilas; 16:01;
"3B"; [0]; Porte des Lilas; 16:10;
"3B"; [0]; Porte des Lilas; 16:19;
"3B"; [0]; Porte des Lilas; 16:28;
"3B"; [0]; Porte des Lilas; 16:37;
"3B"; [0]; Porte des Lilas; 16:46;
"3B"; [0]; Porte des Lilas; 16:55;
"3B"; [0]; Porte des Lilas; 17:04;
"3B"; [0]; Porte des Lilas; 17:13;
"3B"; [0]; Porte des Lilas; 17:22;
"3B"; [0]; Porte des Lilas; 17:31;
"3B"; [0]; Porte des Lilas; 17:40;
"3B"; [0]; Porte des Lilas; 17:49;
"3B"; [0]; Porte des Lilas; 17:58;
"3B"; [0]; Porte des Lilas; 18:07;
"3B"; [0]; Porte des Lilas; 18:16;
"3B"; [0]; Porte des Lilas; 18:25;
"3B"; [0]; Porte des Lilas; 18:34;
"3B"; [0]; Porte des Lilas; 18:43;
"3B"; [0]; Porte des Lilas; 18:52;
"3B"; [0]; Porte des Lilas; 19:01;
"3B"; [0]; Porte des Lilas; 19:10;
"3B"; [0]; Porte des Lilas; 19:19;
"3B"; [0]; Porte des Lilas; 19:28;
"3B"; [0]; Porte des Lilas; 19:37;
"3B"; [0]; Porte des Lilas; 19:46;
"3B"; [0]; Porte des Lilas; 19:55;
"3B"; [0]; Porte des Lilas; 20:04;
"3B"; [0]; Porte des Lilas; 20:13;
"3B"; [0]; Porte des Lilas; 20:22;
"3B"; [0]; Porte des Lilas; 20:31;
"3B"; [0]; Porte des Lilas; 20:40;
"3B"; [0]; Porte des Lilas; 20:49;
"3B"; [0]; Porte des Lilas; 20:58;
"3B"; [0]; Porte des Lilas; 21:07;
"3B"; [0]; Porte des Lilas; 21:16;
"3B"; [0]; Porte des Lilas; 21:25;
"3B"; [0]; Porte des Lilas; 21:34;
"3B"; [0]; Porte des Lilas; 21:43;
"3B"; [0]; Porte des Lilas; 21:52;
"3B"; [0]; Gambetta; 08:32;
"3B"; [0]; Gambetta; 08:42;
"3B"; [0]; Gambetta; 08:52;
"3B"; [0]; Gambetta; 09:02;
"3B"; [0]; Gambetta; 09:12;
"3B"; [0]; Gambetta; 09:22;
"3B"; [0]; Gambetta; 09:32;
"3B"; [0]; Gambetta; 09:42;
"3B"; [0]; Gambetta; 09:52;
"3B"; [0]; Gambetta; 10:02;
"3B"; [0]; Gambetta; 10:12;
"3B"; [0]; Gambetta; 10:22;
"3B"; [0]; Gambetta; 10:32;
"3B"; [0]; Gambetta; 10:42;
"3B"; [0]; Gambetta; 10:52;
"3B"; [0]; Gambetta; 11:02;
"3B"; [0]; Gambetta; 11:12;
"3B"; [0]; Gambetta; 11:22;
"3B"; [0]; Gambetta; 11:32;
"3B"; [0]; Gambetta; 11:42;
"3B"; [0]; Gambetta; 11:52;
"3B"; [0]; Gambetta; 12:02;
"3B"; [0]; Gambetta; 12:12;
"3B"; [0]; Gambetta; 12:22;
"3B"; [0]; Gambetta; 12:32;
"3B"; [0]; Gambetta; 12:42;
"3B"; [0]; Gambetta; 12:52;
"3B"; [0]; Gambetta; 13:02;
"3B"; [0]; Gambetta; 13:12;
"3B"; [0]; Gambetta; 13:22;
"3B"; [0]; Gambetta; 13:32;
"3B"; [0]; Gambetta; 13:42;
"3B"; [0]; Gambetta; 13:52;
"3B"; [0]; Gambetta; 14:02;
"3B"; [0]; Gambetta; 14:12;
"3B"; [0]; Gambetta; 14:22;
"3B"; [0]; Gambetta; 14:32;
"3B"; [0]; Gambetta; 14:42;
"3B"; [0]; Gambetta; 14:52;
"3B"; [0]; Gambetta; 15:02;
"3B"; [0]; Gambetta; 15:12;
"3B"; [0]; Gambetta; 15:22;
"3B"; [0]; Gambetta; 15:32;
"3B"; [0]; Gambetta; 15:42;
"3B"; [0]; Gambetta; 15:52;
"3B"; [0]; Gambetta; 16:02;
"3B"; [0]; Gambetta; 16:12;
"3B"; [0]; Gambetta; 16:22;
"3B"; [0]; Gambetta; 16:32;
"3B"; [0]; Gambetta; 16:42;
"3B"; [0]; Gambetta; 16:52;
"3B"; [0]; Gambetta; 17:02;
"3B"; [0]; Gambetta; 17:12;
"3B"; [0]; Gambetta; 17:22;
"3B"; [0]; Gambetta; 17:32;
"3B"; [0]; Gambetta; 17:42;
"3B"; [0]; Gambetta; 17:52;
"3B"; [0]; Gambetta; 18:02;
"3B"; [0]; Gambetta; 18:12;
"3B"; [0]; Gambetta; 18:22;
"3B"; [0]; Gambetta; 18:32;
"3B"; [0]; Gambetta; 18:42;
"3B"; [0]; Gambetta; 18:52;
"3B"; [0]; Gambetta; 19:02;
"3B"; [0]; Gambetta; 19:12;
"3B"; [0]; Gambetta; 19:22;
"3B"; [0]; Gambetta; 19:32;
"3B"; [0]; Gambetta; 19:42;
"3B"; [0]; Gambetta; 19:52;
"3B"; [0]; Gambetta; 20:02;
"3B"; [0]; Gambetta; 20:12;
"3B"; [0]; Gambetta; 20:22;
"3B"; [0]; Gambetta; 20:32;
"3B"; [0]; Gambetta; 20:42;
"3B"; [0]; Gambetta; 20:52;
"3B"; [0]; Gambetta; 21:02;
"3B"; [0]; Gambetta; 21:12;
"3B"; [0]; Gambetta; 21:22;
"3B"; [0]; Gambetta; 21:32;
"3B"; [0]; Gambetta; 21:42;
"3B"; [0]; Gambetta; 21:52;
"7B"; [0]; Louis Blanc; 08:31;
"7B"; [0]; Louis Blanc; 08:40;
"7B"; [0]; Louis Blanc; 08:49;
"7B"; [0]; Louis Blanc; 08:58;
"7B"; [0]; Louis Blanc; 09:07;
"7B"; [0]; Louis Blanc; 09:16;
"7B"; [0]; Louis Blanc; 09:25;
"7B"; [0]; Louis Blanc; 09:34;
"7B"; [0]; Louis Blanc; 09:43;
